Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T35 ,220,1791.883627,178.772313,64.098393,34.982747,1.832286,0.704562,0.61728
T40 ,178,1387.988669,157.332754,58.63992,34.133549,1.717956,0.704624,3.577145
T68,177,1314.13501,153.082387,58.658162,31.182495,1.881125,0.704692,4.892432
T60,145,1580.406426,167.87132,59.210251,34.053264,1.738754,0.704735,3.224198
T92,40,1719.283793,175.088537,66.943111,35.238216,1.89973,0.704761,8.696382
T63,78,1388.888889,157.331947,55.840513,37.003043,1.509079,0.705088,3.953061
T92,34,1693.23771,173.716795,63.923442,33.945945,1.883095,0.705089,6.915085
T91,17,1649.62131,171.425431,62.146004,35.036029,1.773774,0.705413,8.731279
T11 ,165,1622.048344,169.965194,62.416075,32.625335,1.913117,0.705592,4.323082
T92,149,1677.125482,172.810789,67.221221,35.034794,1.918699,0.705722,9.016021
T68,55,1554.957643,166.324821,61.861045,31.992127,1.933633,0.706341,3.382173
T41 ,111,1314.321964,152.842524,60.511413,31.113905,1.944835,0.707006,4.063585
T60,160,1521.99203,164.474093,58.505855,34.082325,1.716604,0.707013,6.319524
T43 ,128,1350.125945,154.897915,57.23599,32.097145,1.783211,0.70712,10.155405
T51,140,1420.053608,158.788405,56.370348,30.552952,1.845005,0.707745,7.669874
T43 ,107,1495.941786,162.968239,58.265824,35.219515,1.654362,0.707813,13.139999
T98,114,1607.468709,168.908775,62.246943,32.11512,1.938244,0.708024,5.53155
T70,154,1566.984042,166.762512,60.31743,32.233891,1.871243,0.708072,15.180192
T68,82,1811.364484,179.295298,64.426138,38.558528,1.670866,0.708073,11.206801
T45 ,88,1287.891892,151.177654,53.76425,31.674015,1.697425,0.708132,2.052321
T32 ,150,1382.402666,156.612391,56.846885,32.098426,1.771018,0.708259,2.314954
T76,173,1400.235486,157.609649,58.550248,31.635663,1.850767,0.708346,5.695926
T96,172,1233.924965,147.94811,54.758186,31.312046,1.74879,0.708402,11.464689
T97,107,1235.917738,148.060613,54.690212,31.035038,1.762209,0.708468,8.965054
T36 ,163,1374.349593,156.120879,57.494472,30.365995,1.893383,0.708574,3.897603
T94,31,1486.741418,162.359641,63.135388,32.379997,1.949827,0.708744,6.776017
T93,133,1624.843736,169.7203,65.67031,36.326752,1.807767,0.708849,1.408387
T6 ,134,1410.870471,158.145668,58.726684,30.629247,1.91734,0.708896,2.38021
T14 ,120,1465.279602,161.144046,61.306529,31.578802,1.941382,0.709091,6.070971
T46,26,1569.929606,166.79571,59.84218,32.453979,1.843909,0.709121,7.617093
T49,10,1478.629548,161.868105,63.270687,32.994401,1.917619,0.709164,1.950303
T68,210,1757.818744,176.448951,65.847346,33.943568,1.939906,0.709489,6.815041
T37 ,231,1464.422084,161.026605,56.984913,32.778375,1.738491,0.70971,3.937215
T71,194,1286.063139,150.90145,53.442491,31.293868,1.707762,0.709717,5.762806
T41 ,86,1632.538652,170.015583,57.138273,36.235262,1.576869,0.709734,3.601561
T90,47,1686.360134,172.794833,62.834004,34.941513,1.798262,0.709739,4.966907
T78,153,1726.443418,174.834069,65.985162,36.753344,1.795351,0.709758,6.412972
T47,87,1648.84434,170.859354,62.024558,34.315622,1.807473,0.709761,1.245974
T68,118,1743.566519,175.688637,64.739629,34.380259,1.883047,0.709841,13.923342
T71,39,1726.121545,174.754035,62.380241,36.12924,1.726586,0.710275,9.874124
T94,21,1743.01201,175.606282,67.651571,35.838646,1.887671,0.710281,2.24253
T98,130,1749.209694,175.913074,64.527654,34.102346,1.892176,0.710322,11.286992
T78,3,1297.690531,151.513523,55.783316,31.866494,1.750532,0.71036,3.133973
